Product_ID,Category_ID,Cost
1202629,1929,12.0
1202920,2050,3.0
1203199,2027,4.0
1208416,1874,2.0
1211713,1825,2.0
1221222,1827,2.0
1221322,1906,6.0
1223078,1857,4.0
1223085,1860,2.0
1223087,1860,2.0
1223099,1839,8.0
1224025,1934,3.0
1224088,1934,2.0
1225134,1857,2.0
1227416,1694,2.0
1227444,1617,5.0
1227842,1857,9.0
1229332,1379,55.0
1229358,1379,27.0
1230628,1883,7.0
1230629,1883,3.0
1230639,2049,2.0
1231217,1640,11.0
1231835,2038,4.0
1232033,2058,3.0
1233261,1827,5.0
1233359,1438,32.0
1233360,1438,32.0
1233361,1438,38.0
1233362,1438,32.0
1233363,1438,43.0
1233364,1438,43.0
1233847,1938,2.0
1235388,1840,3.0
1235731,1847,5.0
1236228,1895,19.0
1236230,1895,17.0
1236232,1895,22.0
1237342,1838,3.0
1237410,1840,3.0
1237929,2038,26.0
1237941,2038,26.0
1238135,1682,3.0
1238359,1689,5.0
1238395,1625,3.0
1238668,1682,3.0
1238703,1625,3.0
1238863,1509,5.0
1238870,1509,5.0
1238886,1509,5.0
1238908,1509,3.0
1238915,1509,3.0
1238919,1509,3.0
1238931,1509,6.0
1238935,1509,3.0
1238952,1509,5.0
1238965,1509,5.0
1238972,1509,7.0
1238980,1509,6.0
1238987,1509,6.0
1238998,1509,0.0
1239074,1509,5.0
1239075,1509,2.0
1239078,1509,1.0
1239079,1509,2.0
1239393,1618,2.0
1239469,1377,33.0
1240844,1610,2.0
1245929,1623,3.0
1246242,1317,13.0
1246264,1638,15.0
1246380,1691,97.0
1246563,1610,1.0
1247171,1391,16.0
1247435,1917,8.0
1247439,1917,10.0
1251341,1474,54.0
1251463,1640,8.0
1251563,1640,10.0
1251569,1207,111.0
1251725,1640,5.0
1252060,1924,3.0
1252085,1640,9.0
1252086,1640,9.0
1252383,1487,43.0
1252941,1611,6.0
1253700,1246,9.0
1253806,1435,14.0
1253808,1435,16.0
1254227,1681,1.0
1254302,2050,5.0
1254605,1379,39.0
1258699,1640,10.0
1258937,1210,54.0
1259007,1379,25.0
1259011,1379,9.0
1259030,1860,2.0
1259262,1379,15.0
1259328,1640,4.0
1260445,1379,22.0
1260808,1509,3.0
1261044,1860,3.0
1261208,1860,2.0
1261433,1588,29.0
1261613,1860,2.0
